genes	Symbol	Entrezid	Genename
ENSMUSG00000002767	Mrpl2	27398	mitochondrial ribosomal protein L2
ENSMUSG00000002768	Mea1	17256	male enhanced antigen 1
ENSMUSG00000002771	Grin2d	14814	glutamate receptor, ionotropic, NMDA2D (epsilon 4)
ENSMUSG00000002778	Kdelr1	68137	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
ENSMUSG00000002781	Tmem143	70209	transmembrane protein 143
ENSMUSG00000002797	Ggct	110175	gamma-glutamyl cyclotransferase
ENSMUSG00000002799	Jag2	16450	jagged 2
ENSMUSG00000002803	Btbd6	399566	BTB (POZ) domain containing 6
ENSMUSG00000002804	Nudt14	66174	nudix (nucleoside diphosphate linked moiety X)-type motif 14
ENSMUSG00000002808	Epdr1	105298	ependymin related protein 1 (zebrafish)
ENSMUSG00000002812	Flii	14248	flightless I actin binding protein
ENSMUSG00000002814	Top3a	21975	topoisomerase (DNA) III alpha
ENSMUSG00000002820	Atg4d	235040	autophagy related 4D, cysteine peptidase
ENSMUSG00000002825	Qtrt1	60507	queuine tRNA-ribosyltransferase catalytic subunit 1
ENSMUSG00000002831	Plin4	57435	perilipin 4
ENSMUSG00000002833	Hdgfl2	15193	HDGF like 2
ENSMUSG00000002835	Chaf1a	27221	chromatin assembly factor 1, subunit A (p150)
ENSMUSG00000002844	Adprh	11544	ADP-ribosylarginine hydrolase
ENSMUSG00000002845	Tmem39a	67846	transmembrane protein 39a
ENSMUSG00000002846	Timmdc1	76916	translocase of inner mitochondrial membrane domain containing 1
ENSMUSG00000002847	Pla1a	85031	phospholipase A1 member A
ENSMUSG00000002870	Mcm2	17216	minichromosome maintenance complex component 2
ENSMUSG00000002871	Tpra1	24100	transmembrane protein, adipocyte asscociated 1
ENSMUSG00000002881	Nab1	17936	Ngfi-A binding protein 1
ENSMUSG00000002885	Adgre5	26364	adhesion G protein-coupled receptor E5
ENSMUSG00000002897	Il17ra	16172	interleukin 17 receptor A
ENSMUSG00000002900	Lamb1	16777	laminin B1
ENSMUSG00000002908	Kcnn1	84036	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
ENSMUSG00000002910	Arrdc2	70807	arrestin domain containing 2
ENSMUSG00000002944	Cd36	12491	CD36 molecule
ENSMUSG00000002948	Map2k7	26400	mitogen-activated protein kinase kinase 7
ENSMUSG00000002949	Timm44	21856	translocase of inner mitochondrial membrane 44
ENSMUSG00000002957	Ap2a2	11772	adaptor-related protein complex 2, alpha 2 subunit
ENSMUSG00000002963	Pnkp	59047	polynucleotide kinase 3'- phosphatase
ENSMUSG00000002968	Med25	75613	mediator complex subunit 25
ENSMUSG00000002980	Bcam	57278	basal cell adhesion molecule
ENSMUSG00000002981	Clptm1	56457	cleft lip and palate associated transmembrane protein 1
ENSMUSG00000002983	Relb	19698	avian reticuloendotheliosis viral (v-rel) oncogene related B
ENSMUSG00000002984	Tomm40	53333	translocase of outer mitochondrial membrane 40 homolog (yeast)
ENSMUSG00000002985	Apoe	11816	apolipoprotein E
ENSMUSG00000002996	Hbp1	73389	high mobility group box transcription factor 1
ENSMUSG00000002997	Prkar2b	19088	protein kinase, cAMP dependent regulatory, type II beta
ENSMUSG00000003031	Cdkn1b	12576	cyclin-dependent kinase inhibitor 1B
ENSMUSG00000003032	Klf4	16600	Kruppel-like factor 4 (gut)
ENSMUSG00000003033	Ap1m1	11767	adaptor-related protein complex AP-1, mu subunit 1
ENSMUSG00000003037	Rab8a	17274	RAB8A, member RAS oncogene family
ENSMUSG00000003038	Hmgn2	15331	high mobility group nucleosomal binding domain 2
ENSMUSG00000003039	Fam32a	67922	family with sequence similarity 32, member A
ENSMUSG00000003062	Stard3nl	76205	STARD3 N-terminal like
ENSMUSG00000003068	Stk11	20869	serine/threonine kinase 11
ENSMUSG00000003070	Efna2	13637	ephrin A2
ENSMUSG00000003072	Atp5d	66043	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
ENSMUSG00000003099	Ppp5c	19060	protein phosphatase 5, catalytic subunit
ENSMUSG00000003119	Cdk12	69131	cyclin-dependent kinase 12
ENSMUSG00000003123	Lipe	16890	lipase, hormone sensitive
ENSMUSG00000003131	Pafah1b2	18475	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2
ENSMUSG00000003134	Tbc1d8	54610	TBC1 domain family, member 8
ENSMUSG00000003135	Cnot11	52846	CCR4-NOT transcription complex, subunit 11
ENSMUSG00000003153	Slc2a3	20527	solute carrier family 2 (facilitated glucose transporter), member 3
ENSMUSG00000003154	Foxj2	60611	forkhead box J2
ENSMUSG00000003161	Sri	109552	sorcin
ENSMUSG00000003166	Dgcr2	13356	DiGeorge syndrome critical region gene 2
ENSMUSG00000003184	Irf3	54131	interferon regulatory factor 3
ENSMUSG00000003190	Bcl2l12	75736	BCL2-like 12 (proline rich)
ENSMUSG00000003198	Zfp959	224893	zinc finger protein 959
ENSMUSG00000003199	Mpnd	68047	MPN domain containing
ENSMUSG00000003200	Sh3gl1	20405	SH3-domain GRB2-like 1
ENSMUSG00000003208	Ccdc94	72886	coiled-coil domain containing 94
ENSMUSG00000003226	Ranbp2	19386	RAN binding protein 2
ENSMUSG00000003228	Grk5	14773	G protein-coupled receptor kinase 5
ENSMUSG00000003233	Dvl3	13544	dishevelled segment polarity protein 3
ENSMUSG00000003234	Abcf3	27406	ATP-binding cassette, sub-family F (GCN20), member 3
ENSMUSG00000003235	Eif2b5	224045	eukaryotic translation initiation factor 2B, subunit 5 epsilon
ENSMUSG00000003269	Cyth2	19158	cytohesin 2
ENSMUSG00000003271	Sult2b1	54200	sulfotransferase family, cytosolic, 2B, member 1
ENSMUSG00000003273	Car11	12348	carbonic anhydrase 11
ENSMUSG00000003279	Dlgap1	224997	DLG associated protein 1
ENSMUSG00000003282	Plag1	56711	pleiomorphic adenoma gene 1
ENSMUSG00000003283	Hck	15162	hemopoietic cell kinase
ENSMUSG00000003299	Mrpl4	66163	mitochondrial ribosomal protein L4
ENSMUSG00000003308	Keap1	50868	kelch-like ECH-associated protein 1
ENSMUSG00000003316	Glg1	20340	golgi apparatus protein 1
ENSMUSG00000003344	Btbd2	208198	BTB (POZ) domain containing 2
ENSMUSG00000003345	Csnk1g2	103236	casein kinase 1, gamma 2
ENSMUSG00000003346	Abhd17a	216169	abhydrolase domain containing 17A
ENSMUSG00000003348	Mob3a	208228	MOB kinase activator 3A
ENSMUSG00000003352	Cacnb3	12297	calcium channel, voltage-dependent, beta 3 subunit
ENSMUSG00000003354	Ccdc65	105833	coiled-coil domain containing 65
ENSMUSG00000003360	Ddx23	74351	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
ENSMUSG00000003363	Pld3	18807	phospholipase D family, member 3
ENSMUSG00000003378	Grik5	14809	glutamate receptor, ionotropic, kainate 5 (gamma 2)
ENSMUSG00000003380	Rabac1	14470	Rab acceptor 1 (prenylated)
ENSMUSG00000003382	Etv3	27049	ets variant 3
ENSMUSG00000003402	Prkcsh	19089	protein kinase C substrate 80K-H
ENSMUSG00000003410	Elavl3	15571	ELAV like RNA binding protein 3
ENSMUSG00000003411	Rab3b	69908	RAB3B, member RAS oncogene family
ENSMUSG00000003418	St8sia6	241230	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6
ENSMUSG00000003420	Fcgrt	14132	Fc receptor, IgG, alpha chain transporter
ENSMUSG00000003421	Nosip	66394	nitric oxide synthase interacting protein
ENSMUSG00000003423	Pih1d1	68845	PIH1 domain containing 1
ENSMUSG00000003429	Rps11	27207	ribosomal protein S11
ENSMUSG00000003435	Supt5	20924	suppressor of Ty 5
ENSMUSG00000003436	Dll3	13389	delta like canonical Notch ligand 3
ENSMUSG00000003437	Paf1	54624	Paf1, RNA polymerase II complex component
ENSMUSG00000003438	Timm50	66525	translocase of inner mitochondrial membrane 50
ENSMUSG00000003444	Med29	67224	mediator complex subunit 29
ENSMUSG00000003452	Bicd1	12121	BICD cargo adaptor 1
ENSMUSG00000003458	Ncstn	59287	nicastrin
ENSMUSG00000003464	Pex19	19298	peroxisomal biogenesis factor 19
ENSMUSG00000003469	Phyhip	105653	phytanoyl-CoA hydroxylase interacting protein
ENSMUSG00000003476	Crhr2	12922	corticotropin releasing hormone receptor 2
ENSMUSG00000003477	Inmt	21743	indolethylamine N-methyltransferase
ENSMUSG00000003500	Impdh1	23917	inosine monophosphate dehydrogenase 1
ENSMUSG00000003518	Dusp3	72349	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)
ENSMUSG00000003526	Prodh	19125	proline dehydrogenase
ENSMUSG00000003527	Dgcr14	27886	DiGeorge syndrome critical region gene 14
ENSMUSG00000003528	Slc25a1	13358	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1
ENSMUSG00000003531	Dgcr6	13353	DiGeorge syndrome critical region gene 6
ENSMUSG00000003534	Ddr1	12305	discoidin domain receptor family, member 1
ENSMUSG00000003541	Ier3	15937	immediate early response 3
ENSMUSG00000003545	Fosb	14282	FBJ osteosarcoma oncogene B
ENSMUSG00000003546	Klc4	74764	kinesin light chain 4
ENSMUSG00000003549	Ercc1	13870	excision repair cross-complementing rodent repair deficiency, complementation group 1
ENSMUSG00000003559	As3mt	57344	arsenic (+3 oxidation state) methyltransferase
ENSMUSG00000003573	Homer3	26558	homer scaffolding protein 3
ENSMUSG00000003575	Crtc1	382056	CREB regulated transcription coactivator 1
ENSMUSG00000003581	Rnf215	71673	ring finger protein 215
ENSMUSG00000003585	Sec14l2	67815	SEC14-like lipid binding 2
ENSMUSG00000003604	Aven	74268	apoptosis, caspase activation inhibitor
ENSMUSG00000003617	Cp	12870	ceruloplasmin
ENSMUSG00000003623	Crot	74114	carnitine O-octanoyltransferase
ENSMUSG00000003644	Rps6ka1	20111	ribosomal protein S6 kinase polypeptide 1
ENSMUSG00000003657	Calb2	12308	calbindin 2
ENSMUSG00000003660	Snrnp200	320632	small nuclear ribonucleoprotein 200 (U5)
ENSMUSG00000003662	Ciao1	26371	cytosolic iron-sulfur protein assembly 1
ENSMUSG00000003680	Tmem179b	67706	transmembrane protein 179B
ENSMUSG00000003721	Insig2	72999	insulin induced gene 2
ENSMUSG00000003731	Kpna6	16650	karyopherin (importin) alpha 6
ENSMUSG00000003746	Man1a	17155	mannosidase 1, alpha
ENSMUSG00000003752	Itpkc	233011	inositol 1,4,5-trisphosphate 3-kinase C
ENSMUSG00000003762	Coq8b	76889	coenzyme Q8B
ENSMUSG00000003778	Brd8	78656	bromodomain containing 8
ENSMUSG00000003779	Kif20a	19348	kinesin family member 20A
ENSMUSG00000003808	Farsa	66590	phenylalanyl-tRNA synthetase, alpha subunit
ENSMUSG00000003809	Gcdh	270076	glutaryl-Coenzyme A dehydrogenase
ENSMUSG00000003810	Mast2	17776	microtubule associated serine/threonine kinase 2
ENSMUSG00000003812	Dnase2a	13423	deoxyribonuclease II alpha
ENSMUSG00000003813	Rad23a	19358	RAD23 homolog A, nucleotide excision repair protein
ENSMUSG00000003814	Calr	12317	calreticulin
ENSMUSG00000003824	Syce2	71846	synaptonemal complex central element protein 2
ENSMUSG00000003847	Nfat5	54446	nuclear factor of activated T cells 5
ENSMUSG00000003848	Nob1	67619	NIN1/RPN12 binding protein 1 homolog
ENSMUSG00000003849	Nqo1	18104	NAD(P)H dehydrogenase, quinone 1
ENSMUSG00000003863	Ppfia3	76787	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3
ENSMUSG00000003865	Gys1	14936	glycogen synthase 1, muscle
ENSMUSG00000003868	Ruvbl2	20174	RuvB-like protein 2
ENSMUSG00000003872	Lin7b	22342	lin-7 homolog B (C. elegans)
ENSMUSG00000003873	Bax	12028	BCL2-associated X protein
ENSMUSG00000003923	Tfam	21780	transcription factor A, mitochondrial
ENSMUSG00000003929	Zfp81	224694	zinc finger protein 81
ENSMUSG00000003934	Efnb3	13643	ephrin B3
ENSMUSG00000003948	Mmd	67468	monocyte to macrophage differentiation-associated
ENSMUSG00000003949	Hlf	217082	hepatic leukemia factor
ENSMUSG00000003955	Fam162a	70186	family with sequence similarity 162, member A
ENSMUSG00000003970	Rpl8	26961	ribosomal protein L8
ENSMUSG00000003974	Grm3	108069	glutamate receptor, metabotropic 3
ENSMUSG00000003992	Ssbp2	66970	single-stranded DNA binding protein 2
ENSMUSG00000004018	Fancl	67030	Fanconi anemia, complementation group L
ENSMUSG00000004031	Brinp2	240843	bone morphogenic protein/retinoic acid inducible neural-specific 2
ENSMUSG00000004032	Gstm5	14866	glutathione S-transferase, mu 5
ENSMUSG00000004035	Gstm7	68312	glutathione S-transferase, mu 7
ENSMUSG00000004040	Stat3	20848	signal transducer and activator of transcription 3
ENSMUSG00000004043	Stat5a	20850	signal transducer and activator of transcription 5A
ENSMUSG00000004044	Cavin1	19285	caveolae associated 1
ENSMUSG00000004054	Map3k11	26403	mitogen-activated protein kinase kinase kinase 11
ENSMUSG00000004056	Akt2	11652	thymoma viral proto-oncogene 2
ENSMUSG00000004069	Dnaja3	83945	DnaJ heat shock protein family (Hsp40) member A3
ENSMUSG00000004070	Hmox2	15369	heme oxygenase 2
ENSMUSG00000004071	Cdip1	66626	cell death inducing Trp53 target 1
ENSMUSG00000004085	Map3k20	65964	mitogen-activated protein kinase kinase kinase 20
ENSMUSG00000004096	Cwc15	66070	CWC15 spliceosome-associated protein
ENSMUSG00000004098	Col5a3	53867	collagen, type V, alpha 3
ENSMUSG00000004099	Dnmt1	13433	DNA methyltransferase (cytosine-5) 1
ENSMUSG00000004100	Ppan	235036	peter pan homolog
ENSMUSG00000004105	Angptl2	26360	angiopoietin-like 2
ENSMUSG00000004110	Cacna1e	12290	calcium channel, voltage-dependent, R type, alpha 1E subunit
ENSMUSG00000004113	Cacna1b	12287	calcium channel, voltage-dependent, N type, alpha 1B subunit
ENSMUSG00000004127	Trmt10a	108943	tRNA methyltransferase 10A
ENSMUSG00000004151	Etv1	14009	ets variant 1
ENSMUSG00000004187	Kifc2	16581	kinesin family member C2
ENSMUSG00000004207	Psap	19156	prosaposin
ENSMUSG00000004221	Ikbkg	16151	inhibitor of kappaB kinase gamma
ENSMUSG00000004233	Wars2	70560	tryptophanyl tRNA synthetase 2 (mitochondrial)
ENSMUSG00000004263	Atn1	13498	atrophin 1
ENSMUSG00000004264	Phb2	12034	prohibitin 2
ENSMUSG00000004266	Ptpn6	15170	protein tyrosine phosphatase, non-receptor type 6
ENSMUSG00000004267	Eno2	13807	enolase 2, gamma neuronal
ENSMUSG00000004268	Emg1	14791	EMG1 N1-specific pseudouridine methyltransferase
ENSMUSG00000004270	Lpcat3	14792	lysophosphatidylcholine acyltransferase 3
ENSMUSG00000004285	Atp6v1f	66144	ATPase, H+ transporting, lysosomal V1 subunit F
ENSMUSG00000004317	Clcn5	12728	chloride channel, voltage-sensitive 5
ENSMUSG00000004319	Clcn3	12725	chloride channel, voltage-sensitive 3
ENSMUSG00000004328	Hif3a	53417	hypoxia inducible factor 3, alpha subunit
ENSMUSG00000004347	Pde1c	18575	phosphodiesterase 1C
ENSMUSG00000004356	Utp20	70683	UTP20 small subunit processome component
ENSMUSG00000004360	9330159F19Rik	212448	RIKEN cDNA 9330159F19 gene
ENSMUSG00000004364	Cul3	26554	cullin 3
ENSMUSG00000004366	Sst	20604	somatostatin
ENSMUSG00000004383	Large1	16795	LARGE xylosyl- and glucuronyltransferase 1
ENSMUSG00000004393	Ddx56	52513	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56
ENSMUSG00000004394	Tmed4	103694	transmembrane p24 trafficking protein 4
ENSMUSG00000004415	Col26a1	140709	collagen, type XXVI, alpha 1
ENSMUSG00000004446	Bid	12122	BH3 interacting domain death agonist
ENSMUSG00000004451	Ralb	64143	v-ral simian leukemia viral oncogene B
ENSMUSG00000004455	Ppp1cc	19047	protein phosphatase 1, catalytic subunit, gamma isoform
ENSMUSG00000004460	Dnajb11	67838	DnaJ heat shock protein family (Hsp40) member B11
ENSMUSG00000004462	Tbccd1	70573	TBCC domain containing 1
ENSMUSG00000004473	Clec11a	20256	C-type lectin domain family 11, member a
ENSMUSG00000004500	Zfp324	243834	zinc finger protein 324
ENSMUSG00000004508	Gab2	14389	growth factor receptor bound protein 2-associated protein 2
ENSMUSG00000004530	Coro1c	23790	coronin, actin binding protein 1C
ENSMUSG00000004535	Tax1bp1	52440	Tax1 (human T cell leukemia virus type I) binding protein 1
ENSMUSG00000004558	Ndrg2	29811	N-myc downstream regulated gene 2
ENSMUSG00000004561	Mettl17	52535	methyltransferase like 17
ENSMUSG00000004562	Arhgef40	268739	Rho guanine nucleotide exchange factor (GEF) 40
ENSMUSG00000004565	Pnpla6	50767	patatin-like phospholipase domain containing 6
ENSMUSG00000004567	Mcoln1	94178	mucolipin 1
ENSMUSG00000004568	Arhgef18	102098	rho/rac guanine nucleotide exchange factor (GEF) 18
ENSMUSG00000004591	Pkn2	109333	protein kinase N2
ENSMUSG00000004609	Cd33	12489	CD33 antigen
ENSMUSG00000004610	Etfb	110826	electron transferring flavoprotein, beta polypeptide
ENSMUSG00000004626	Stxbp2	20911	syntaxin binding protein 2
ENSMUSG00000004630	Pcp2	18545	Purkinje cell protein 2 (L7)
ENSMUSG00000004631	Sgce	20392	sarcoglycan, epsilon
ENSMUSG00000004633	Chn2	69993	chimerin 2
ENSMUSG00000004637	Wwox	80707	WW domain-containing oxidoreductase
ENSMUSG00000004642	Slbp	20492	stem-loop binding protein
ENSMUSG00000004651	Tyr	22173	tyrosinase
ENSMUSG00000004655	Aqp1	11826	aquaporin 1
ENSMUSG00000004661	Arid3b	56380	AT rich interactive domain 3B (BRIGHT-like)
ENSMUSG00000004665	Cnn2	12798	calponin 2
ENSMUSG00000004667	Polr2e	66420	polymerase (RNA) II (DNA directed) polypeptide E
ENSMUSG00000004677	Myo9b	17925	myosin IXb
ENSMUSG00000004698	Hdac9	79221	histone deacetylase 9
ENSMUSG00000004730	Adgre1	13733	adhesion G protein-coupled receptor E1
ENSMUSG00000004748	Mtfp1	67900	mitochondrial fission process 1
ENSMUSG00000004768	Rab23	19335	RAB23, member RAS oncogene family
ENSMUSG00000004771	Rab11a	53869	RAB11A, member RAS oncogene family
ENSMUSG00000004788	Eif2b2	217715	eukaryotic translation initiation factor 2B, subunit 2 beta
ENSMUSG00000004789	Dlst	78920	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
ENSMUSG00000004791	Pgf	18654	placental growth factor
ENSMUSG00000004798	Ulk2	29869	unc-51 like kinase 2
ENSMUSG00000004815	Dgkq	110524	diacylglycerol kinase, theta
ENSMUSG00000004837	Grap	71520	GRB2-related adaptor protein
ENSMUSG00000004843	Chmp2b	68942	charged multivesicular body protein 2B
ENSMUSG00000004846	Plod3	26433	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3
ENSMUSG00000004849	Ap1s1	11769	adaptor protein complex AP-1, sigma 1
ENSMUSG00000004865	Srpk1	20815	serine/arginine-rich protein specific kinase 1
ENSMUSG00000004880	Lbr	98386	lamin B receptor
ENSMUSG00000004885	Crabp2	12904	cellular retinoic acid binding protein II
ENSMUSG00000004891	Nes	18008	nestin
ENSMUSG00000004892	Bcan	12032	brevican
ENSMUSG00000004894	Hapln2	73940	hyaluronan and proteoglycan link protein 2
ENSMUSG00000004895	Prcc	94315	papillary renal cell carcinoma (translocation-associated)
ENSMUSG00000004896	Rrnad1	229503	ribosomal RNA adenine dimethylase domain containing 1
ENSMUSG00000004897	Hdgf	15191	hepatoma-derived growth factor
ENSMUSG00000004902	Slc25a18	71803	solute carrier family 25 (mitochondrial carrier), member 18
ENSMUSG00000004929	Thop1	50492	thimet oligopeptidase 1
ENSMUSG00000004931	Apba3	57267	amyloid beta (A4) precursor protein-binding, family A, member 3
ENSMUSG00000004933	Matk	17179	megakaryocyte-associated tyrosine kinase
ENSMUSG00000004934	Pias4	59004	protein inhibitor of activated STAT 4
ENSMUSG00000004936	Map2k1	26395	mitogen-activated protein kinase kinase 1
ENSMUSG00000004937	Sgta	52551	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha
ENSMUSG00000004945	Tmem242	70544	transmembrane protein 242
ENSMUSG00000004947	Dtx2	74198	deltex 2, E3 ubiquitin ligase
ENSMUSG00000004951	Hspb1	15507	heat shock protein 1
ENSMUSG00000004952	Rasa4	54153	RAS p21 protein activator 4
ENSMUSG00000004961	Syt5	53420	synaptotagmin V
ENSMUSG00000004980	Hnrnpa2b1	53379	heterogeneous nuclear ribonucleoprotein A2/B1
ENSMUSG00000004994	Ccdc130	67736	coiled-coil domain containing 130
ENSMUSG00000004996	Mri1	67873	methylthioribose-1-phosphate isomerase 1
ENSMUSG00000005034	Prkacb	18749	protein kinase, cAMP dependent, catalytic, beta
ENSMUSG00000005043	Sgsh	27029	N-sulfoglucosamine sulfohydrolase (sulfamidase)
ENSMUSG00000005045	Chd5	269610	chromodomain helicase DNA binding protein 5
ENSMUSG00000005054	Cstb	13014	cystatin B
ENSMUSG00000005057	Sh2b2	23921	SH2B adaptor protein 2
ENSMUSG00000005069	Pex5	19305	peroxisomal biogenesis factor 5
ENSMUSG00000005078	Jkamp	104771	JNK1/MAPK8-associated membrane protein
ENSMUSG00000005087	Cd44	12505	CD44 antigen
ENSMUSG00000005089	Slc1a2	20511	solute carrier family 1 (glial high affinity glutamate transporter), member 2
ENSMUSG00000005102	Eif2ak4	27103	eukaryotic translation initiation factor 2 alpha kinase 4
ENSMUSG00000005103	Wdr1	22388	WD repeat domain 1
ENSMUSG00000005107	Slc2a9	117591	solute carrier family 2 (facilitated glucose transporter), member 9
ENSMUSG00000005124	Wisp1	22402	WNT1 inducible signaling pathway protein 1
ENSMUSG00000005125	Ndrg1	17988	N-myc downstream regulated gene 1
